number,country,description,points,price,province
350,Italy,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022??035.",97,150,Piedmont
360,Australia,"Bacon and tapenade elements merge easily on the nose, followed by a wine that's full bodied and creamy textured on the palate. This is dark and meaty in profile, yet not heavy or cooked, with a long, harmonious finish. Drink now??030.",95,125,South Australia
370,US,"Mint again, with earth and tobacco; one taster found traces of bell pepper. Coffee and brown sugar further soften a supple, mature mouthfeel. Drink now.",88,160,California
380,Chile,"At first this is aggressive, with an aromatic note of wet dog along with blueberries. But soon it finds its legs and opens to display chocolate, espresso and a big batch of black plum and blackberry. The finish has full tannins and some coffee-like flavor. Currently it's wall-to-wall big, but it should settle down in no time and become a good red to drink on any occasion.",88,12,Rapel Valley
390,Chile,"Right off the bat this wine is pure and smooth. The nose is pretty, with cranberry and cassis. Next up is a palate of pure red fruit and only a light shading of oak. The finish draws applause for its clarity and buttery nuances. It's what a good Chilean Cabernet should be; it's ripe and easy to drink, yet fairly solid and impressive. Best Buy.",88,12,Maipo Valley
400,Italy,"Tonic and lean with a nearly transparent color and lively perlage, this non-DOC Prosecco offers candy-like aromas of butterscotch and lemon soda. There's an interesting touch of crushed white peppercorn in there as well and this well-priced wine would make a perfect match to appetizers and finger foods.",85,13,Italy Other
410,US,"An elegant nose of violet and blackberry gives this Cab Franc a graceful start. On the palate, soft cherry and blackberry flavors are punctuated by spice and pepper. An interesting sip that will pair well with fowl, beef.",85,20,New York
420,France,"This is the first of 15 estates the Gonfrier family owns throughout Bordeaux. There are strong wood influences here, although the fruit is enough to match up. So ripe pear and apricot flavors go with those toasty characters to give a rich, full-bodied wine. It will be better from late 2016.",89,26,Bordeaux
430,US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",89,30,California
440,US,"This wine is a blend of fruit from five different vineyards scattered across the valley. The aromas of barrel spice, black cherry, dried leaves, herbs and flowers still seem quite locked up. The flavors are generous and full with palate coating milk chocolate and cherry flavors with a finish that lingers.",89,38,Washington
450,France,"Now part of Jacquart Champagne, Montaudon produces sophisticated and elegant wines, as this Classe M shows. It is crisp and dry in style with citrus and grapefruit flavors dominating. but some bottle age adds texture and notes of toastiness.",92,38,Champagne
460,US,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",92,50,Oregon
470,France,"Very dry in style, this is a beautifully crisp, tight and taut Champagne. It has citrus and green apple flavors, and is steely in character while also fruity. It could do well with some more bottle age.",92,70,Champagne
480,US,"This Stella Mae is 50% Cabernet Sauvignon, 30% Merlot and 20% Cabernet Franc. It remains a rather lean wine in the Sparkman portfolio, despite having alcohol at 14.6%. Here are lightly earthy flavors of strawberry and herb, with a hint of green in the tannins.",87,45,Washington
490,Spain,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",87,19,Catalonia
500,Spain,"Aromas of watermelon and a dusting of natural vanilla mark the bouquet. On the palate, it's fleshy but still crisp and focused, with nectarine, red apple and strawberry flavors. The finish lasts, with some sweetness.",87,11,Northern Spain
510,US,"Flint and smoke aromas show strongly on this bottling, alongside hints of lemon balm and a rustic apple cider vinegar savory kick. Tangy smoked tangerine flavors show on the energized sip, where a unique sandalwood smoky quality plays with more cider-like tang.",91,48,California
520,US,"Bob Lindquist is almost certainly the only vintner in America that is drying Marsanne on straw mats to make a dessert wine. The result is aromas of Asian pear, white peach, baked apple and baking spice, more fresh rather than sweet. It is viscous on the sip, and the sweetness steadily grows on the palate, offering cotton candy flavors. Fascinating stuff.",91,35,California
530,Chile,"Jammy berry aromas seem reduced at first, with notes of iodine and rubber. But with airing this packed Syrah comes around. A flush saturated tannic palate is home to toasty blackened berry, coffee and spice flavors. On the finish, burnt toast and espresso flavors don't slip. Drink through 2022.",91,24,Colchagua Valley
540,US,"A touch of earthy funk shows at first on the nose of this bottling, laced throughout the dark cranberry, pomegranate, crushed grapeseeds and a lavish layer of violets. The palate is heavily spiced with clove, gingerbread, a touch of juniper, lots of earthy sagebrush and a strong cranberry fruit, all seasoned by an iron-powered minerality.",93,60,California
550,US,"The estate-grown grapes for this wine come from some of the appellation's highest-elevation sites, at the base of Mount Veeder. Natural acidity is the star of the show, a nice surprise after a decadent honeyed color and bouquet. Serious texture and complexity give way to a touch of salted caramel and peach.",93,35,California
560,US,"As the name makes clear, this wine is made from a head-pruned, older block of very unlikely Syrah at the estate property, as seductive as rare. Plum, black cherry, leather and black pepper jump from the glass, slowly and with purpose, around a core of burly tannin and intensely floral aromatics. This is a great wine.",93,45,California
570,US,"Aromas of sea salt, olive brine, smoked meat, herb and earth lead to medium-bodied fruit flavors that run warm on the finish. There are plenty of good things going on but they don't seem to entirely come together.",89,50,Washington
580,US,"Two-thirds Chenin Blanc and one-third Grüner Veltliner, this wine opens with aromas of apple, white pepper, herb and spice. It brings a sense of freshness and purity, along with a rounded feel.",89,18,Washington
590,US,"Sweet honeysuckle, lime blossoms and honeydew show on the very flowery nose of this bottling from a newer property near the old mining town of Pozo. The sip tightens up smartly with Anjou pear and honeysuckle flavors, but it's the powerful acidity that makes for a compelling palate.",89,17,California
600,Italy,"Crisp and light with pretty mineral dustings behind the ripe peach and melon aromas, this Gavi shows a full and generous style. Its nicest quality is that it offers both softness in the mouth and elegance on the bouquet.",87,19,Piedmont
610,US,"A touch of oak adds a sweet, smoky creaminess to this wine, but it's really dominated by Sauvignon Blanc's acidity and racy spearmint and tropical fruit. The alcohol is moderate, making it easy to drink.",87,17,California
620,Italy,"Extra sweetness and density give this wine a full and generous personality. Dry Proseccos usually show a little extra peach juice and nectarine, as this wine does, without being heavy or cloying.",87,20,Veneto
630,US,"From the oldest part of the estate, this subtle wine rewards your patience and full attention. Hints of rose petals adorn the floral accents, while the midpalate emphasizes flavors of raspberries and orange peel. At first a bit shy, this opens slowly and reveals hidden complexities and enduring length. Drink now through 2025.",92,48,Oregon
640,US,"Yields tend to be low in this dry-farmed vineyard, which especially struggles during a drought, but the quality is fantastic. Aromas of browned toast, popcorn, Meyer-lemon pith, honey pollen and a mineral herbal chamomile character show on the nose. A vibrant chalkiness reveals itself on the sip, with lemon blossom and grapefruit pith keeping the palate tight, grippy and texturally zippy.",92,37,California
650,Italy,"You'll find aromas of tomato leaf, passion fruit, crushed rock and green bell pepper on this radiant white. The bright, savory palate delivers tropical fruit, tangerine zest, dill, celery and mineral alongside tangy acidity. It's an extremely impressive showing for this challenging vintage.",92,24,Northeastern Italy
660,US,"Syrupy thick at first, decadent enough for a king, this rich red is defined by vanilla French toast and blackberry jam aromas and flavors. It finds balance midway through on the palate, veering into crisper red tones of cranberry and rhubarb. Time will help mellow things out. Cellar through 2020.",90,80,California
670,US,"Dark berry, herb and fig aromas lead to dense, full and palate-coating dark fruit flavors. It checks all the boxes for varietal correctness, concentration and value.",90,13,Washington
680,Spain,"Plum, prune and raspberry aromas are solid. This shows a bright, juicy palate along with traditional Rioja flavors of vanilla, tobacco, savory oak and dried red-berry fruits. Drink through 2018.",90,25,Northern Spain
690,Austria,"Still closed, this is redolent of the elegant, nutty notes of new French oak which nonetheless complement the ripe but supple cherry fruit. The tannins are superfine and the addition of peppery Zweigelt to this Cabernet-Merlot blend lends spice and verve to the mix. This was made for the long run, so give it some bottle age and allow it to meld into its elegant self. Drink from 2018.",91,35,Burgenland
700,Argentina,"Intriguing aromas of lavender, hoja santa and green tobacco blend nicely with blackberry and blueberry scents. This top-flight Bonarda feels lush and only moderately tannic. Blackberry, leather and mild briny flavors finish minty and lightly herbal. Drink now.",91,30,Mendoza Province
710,New Zealand,"As typical for Dry River Pinots, this one is pretty surly in its youth. Intense and astringent, it packs layers of dusty black-cherry fruit into a tightly coiled frame. Try after 2019.",91,120,Martinborough
720,Portugal,"Onion skin orange in color, this is a full and fat wine. It has attractive red-berry fruit and just the right amount of acidity to keep it fresh and crisp. Drink now.",85,22,Alentejano
730,US,"This wine looks, smells and tastes on the light side. Herb and red-cherry aromas precede rather lean flavors from cherry to clove and dill, and a brisk texture with some tannic grip.",85,16,California
740,US,"There seems to be a dusty veil over the fruit of this sold, approachable Sangiovese. A bit of sweet spice creeps up on the palate, making it enjoyable by itself or paired alongside pizza Tuesday.",85,,Texas
750,US,"Soft and appealing, this Pinot offers lush, elaborate flavors of raspberry and cherry pie filling, mocha and sandalwood flavors, finished with sweet, dusty Indian spices. It's made for drinking now.",87,45,California
760,US,"The blackberry, blueberry, bacon, pepper and sandalwood flavors are nice, and the wine finishes dry. A good, rich Syrah for drinking now if you're looking for a full-bodied and tannic red wine. Give it a brief decant.",87,28,California
770,France,"Now with its intensity and some bottle age, this wine—formerly known as Crémant de Cramant—is rich, with its apple flavor blending with an almond note and a soft, warm texture. The acidity shoots right through this ripe wine.",92,62,Champagne
780,Italy,"Thanks to eight years in Vin Santo's traditional caratelli barrels, this sweet blend of Trebbiano and Malvasia offers a dark, golden-amber color, bearing intense aromas of dried apricot, candied fruit, honey and toasted almond.",92,50,Tuscany
790,US,"The variety is unmistakable, with notes of dried herb, dark cherry and espresso. The jammy fruit flavors are rich, with lightly grainy tannins and coffee notes on the finish. It shows a fine sense of balance.",90,17,Washington
800,US,"With black cherry, blueberry, milk chocolate and balsamic reduction offsetting the light dill herbaceousness, this wine offers surprising depth for the affordable price. The texture is soft, yet the tannins stand up to the black cherry, charcoal and black-pepper flavors.",90,20,California
810,US,"This wine opens with a confectionary nose, slowly unleashing its thick, concentrated richness of dark cherry and cassis on the palate. Between the layers are grippy tannins and shakes of meaty leather and black pepper. This could stand some time in a decanter or swirling in the glass before enjoying.",90,125,California
820,Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",86,12,Northern Spain
830,France,"Crisp while also fruity, it has bright acidity, lively citrus and apple flavors and a refreshing aftertaste. Drink now.",86,15,Beaujolais
840,France,"This is a rich style of rosé, rounded and fruity with good texture, wild strawberry flavors and very crisp acidity at the end. It's an attractive wine and one that's worth keeping until 2015.",86,20,Beaujolais
850,France,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",90,117,Burgundy
860,US,"Fresh cracked peppercorn, dense black and purple fruit and a cedar tone carry through the nose of this lavish yet nuanced bottling from a South Coast winery that practices extended aging before release. The elderberry fruit is hung on a strong tannic structure, bolstered by woody cigar box, incense, juniper and espresso flavors.",90,45,California
870,US,"This is an amazingly tasty and focused wine that has the most distinctive black pepper character. It's medium-bodied, dark and smoky looking and quite flavorful, backing up the pepper with lively raspberry notes and staying lively from the first sip to the last.",90,29,California
880,US,"Impressive for its depth and deliciousness. The grapes are from Cline's estate on the Sonoma side of the Carneros district. The wine is dry, full-bodied and tannic, although you can drink it now. It's very rich in blackberries, currants, mushu plum sauce, grilled beef and smoky sandalwood, and seems at its best now.",90,20,California
890,US,"If you like your Voigniers flamboyant, this one's for you. It's an explosion of tangerines, golden mangoes, peaches and pears, with buttery, creamy overtones and a finish of honey. Lots of zesty acidity adds a balancing scour to the mouthfeel.",90,28,California
900,Spain,"It has taken a few years but Morlanda has reached a nice place with this wine. Look for ripeness and concentrated black fruit aromas, and then a ripe palate with herbal blackberry and chocolate. Smooth on the finish, with a tiny bit of burn. Drink now through 2014.",90,48,Catalonia
910,Argentina,"Flat in color, with a dull luster, this smells mulchy and earthy, with dampness to the nose. A thick, medicinal palate is dealing severe tannins embedded into a syrupy texture. Flavors of fig, raisin and earth are a little spent.",87,30,Mendoza Province
920,Australia,"Green beans and snap peas give this Sauvignon Blanc a green cast overall, but there's some citrus and gooseberry fruit as well. It's clean and refreshing on the finish.",87,20,Australia Other
930,Argentina,"Roasted, woodsy, rubbery aromas are gamy and staunch, with berry notes interspersed. Grabby, rubbery tannins make for a rugged palate, while roasted plum and gamy flavors are a touch salty. A tannic finish doesn't change much.",87,15,Mendoza Province
940,France,"Neatly divided between the three major grapes of Champagne, this full, ripe wine is packed with rich apple and pear fruits. It is crisp while showing a high dosage giving a softer, smoother aftertaste. Drink this bottling now.",87,38,Champagne
950,US,"With a richness to the nose, this wine possesses a medium-sized body and moderate acidity, showcasing ripe apple, pear and tropical elements. The finish is focused in simple notions of preserved lemon and pineapple.",87,40,California
960,France,"This is a fragrant, spicy wine that is shot through with red fruits and fine acidity. The 95% Merlot and 5% Cabernet Sauvignon blend is still firm with its tannins although the acidity and bright fruit are well in balance. Drink from 2018.",87,18,Bordeaux
970,US,"A little tough and gritty, but okay for everyday fare. Shows blackberry, currant, tobacco and herb flavors that turn sweetly fruity on the finish.",85,19,California
980,Italy,"This wine doesn't seem to have fully evolved and its aromas are  muddled in places with notes of mature fruit and natural rubber. In the mouth it has red fruit flavors and tight tannins, but it generally lacks definition.",85,41,Veneto
990,US,"Good price for a crisp white wine that's this polished. Nice on its own for the savory citrus, spearmint and spicy vanilla flavors, and fine with everything from fried chicken to Cantonese.",88,12,California
1000,US,"Arcane's Cab is stylistically apart from either California or Washington. It defines its own space. There's plenty of new oak, but the fruit, acid and tannins stand up to it. This is sharp and tangy; cranberry and raspberry, strawberry and citric acids all playing their part. Still young, give it some time in a decanter or in your cellar to come together and show its best.",88,24,Oregon
1010,US,"This is a very interesting wine. It has many different flavor threads that have not quite interwoven. To begin there is a surplus of acid, leaving a chalky sensation that has not yet smoothed out. The fruit flavors are also sharp and tart—red fruits from wild berries to pomegranate to sour cherry. The aromas suggest some light chocolate from the barrel aging, and it shows up in the finish, along with herb and vanilla. So, there's lots going on, but it has not yet come together in a harmonious whole.",88,75,Oregon
1020,US,"Creamy and fresh, this is made from estate-grown grapes, fermented in a mix of stainless steel and neutral barrels. The fruit flavors blend jicama, melon and pear, with a touch of sweetness. It finishes with a hint of honeysuckle.",88,14,Oregon
1030,US,"There's a substantial earthiness to this Chardonnay, grown in a relatively cool estate vineyard. Vibrant on the palate in ripe apple and lemon, it offers medium weight and body, with a crispness to the finish and a food-friendly nature.",88,60,California
1040,Argentina,"Dark in color and forcefully oaked on the nose, this resiny Malbec will appeal to fans of richly styled reds. Plum, berry, tomato leaf and herbal flavors finish woody but fair, with lasting acidity.",87,15,Mendoza Province
1050,US,"Shows plenty of lush, ripe fruit, wrapped in soft tannins and balanced with crisp acids. The forward black cherry, red licorice, orange and smoky vanilla flavors are rich, and the price makes it a great value.",85,10,California
1060,France,"As in nearby Sauternes, 2005 produced some exceptionally rich botrytised wine in Monbazillac. This example from one of the leading Bergerac producers certainly shows plenty of richness, but it seems rather too sugary, showing toffee flavors and fatness. The acidity is missing.",85,11,Southwest France
1070,US,"This single vineyard wine is a blend of six separate blocks, each planted to a different clone. It deftly combines savory herb flavors with ripe Bing cherry fruit. The tannins are polished, textured and balanced, leading into a long finish that leaves a final impression of composted earth.",94,62,Oregon
1080,US,"As characterful as the dry version but with lower alcohol and a slight hint of sweetness, this boasts powerful tangerine, quince and Meyer lemon fruit. Its electric acidity keeps it vivid and beautifully balanced. Delicious now, it's also cellar-worthy.",94,32,Oregon
1090,Portugal,"Ripe, fruity and balanced, this has the potential to be a delicious, not-too-concentrated wine. Acidity and some dry tannins give the wine a firm character that is balanced by the fragrant berry fruits. Drink from 2026.",94,60,Port
1100,Chile,"Despite showing gritty, scratchy aromas of baked, earthy black fruits, this Carignan-led blend is rock solid and ready. Tight, punchy, focused acidity sets up a rustic palate with a mix of baked-fruit flavors, spice and char. A toasty, dark, long finish is staunch and sturdy. Drink through 2016.",90,35,Maule Valley
1110,Spain,"With a black color and deep, resiny aromas of licorice, baking spices and black fruits, this is a big, Tempranillo with plenty of size and tannic bite. Flavors of earthy, oaky, loamy plum and blackberry finish with licorice, spice and baked notes. Drink through 2018.",90,60,Northern Spain
1120,France,"Chardonay and Pinot Noir are both present in this apple and pear flavored wine. A lively mousse brings out the fruit and acidity, giving a tangy, bright wine that's ready to drink now.",90,24,France Other
1130,US,"This is a challenging mix of substantially puckering tannins and herbaceous notes, dotted in black peppercorns. The fruit is elusive.",84,65,California
1140,US,"Pronounced notes of butter, cheese and canned cream corn dominate this savory Chardonnay. It's a rather fat, cream-textured wine but sunny tangerine acidity and fresher notes of apple and pear flavors do get a peek through the midpalate.",84,25,New York
1150,Chile,"Blocky, stewy, raisiny aromas of nonspecific black fruits are jumbled and green. This feels awkward and jammy, with little to no structural integrity. Flavors of prune, raisin and oak finish soft and loamy.",83,11,Central Valley
1160,Greece,"The bone-dry, earthy minerality of Assyrtiko blends well with the crisp, fresh fruit flavors of Sauvignon Blanc in this white blend. Clean, simple flavors of citrus, spice and slate give the wine a quaffable, food-friendly edge.",87,13,Halkidiki
1170,Argentina,"Apricot and oak aromas make for a smoky, slightly heavy bouquet. The wine keeps that weightiness as it passes from nectarine to citrus to tropical fruits. Long on the finish, with integrity. But it's also a bit citric in the center. “Pulpy??is another descriptor.",86,17,Mendoza Province
1180,US,"Honeylike aromas, ripe peach and apple flavors and rather full body give this wine good depth and breadth. It seems like just the thing for a picnic or to serve with cheese at a party.",88,26,California
1190,US,"Crisp green-apple freshness blends with hints of butter and vanilla for a nicely balanced, un-oaky, medium-bodied wine at a very reasonable price.",88,13,California
1200,Germany,"Whiffs of sugar cookies and raspberries entice on this consistently pleasing bargain buy. Fruity and floral and a just shade off dry, its an easygoing wine but with a depth beyond what one might presume from its cheeky packaging. Finishes on a lingering white peach note.",87,10,Pfalz
1210,US,"Black in color, this heavy concentrated wine is thick in black pepper and clove, with underlying streaks of cedar. Well structured, it unfurls depths of black cherry, currant and vanilla as it develops in the glass, finishing a full bodied as it started.",93,52,California
1220,France,"This smooth, rich and fine wine is maturing well. It has a good balance of ripe fruit and acidity. Bitter coffee and spice notes add complexity while not detracting from the fruit. Drink from 2020.",93,40,Bordeaux
1230,US,"Elegant and beautiful aromas of Montmorency cherry, tart orange peel and balsamic fig reduction sauce prove precise and show some mature vine age. Roasted fig flavors meet with salt and pepper seasonings on the palate, which is well structure and full of bright acidity.",93,65,California
1240,France,"Yes, it has 2003 ripeness, but there is also some restraint here. The tannins are still defiantly young, the fruit packed with black plum jelly flavors. It promises 2?? years' aging.",88,40,Bordeaux
1250,Italy,"Spice, cherry cola and dried lavender emerge from the nose of this classy Riserva. The wine has elegance, harmony and a long finish thanks to the quality of its fruit and the natural acidity. Pair it with lasagna or meat-filled ravioli.",88,20,Tuscany
1260,Italy,"This blend of Catarratto and Chardonnay shows a tiny touch of oxidation, with butterscotch and caramel aromas behind candied fruit, apricot and pineapple. The mouthfeel is soft, thick and sticky.",85,22,Sicily & Sardinia
1270,US,"There are solid Cabernet flavors of blackberries and black currants in this dry, tannic wine. It's rough and astringent in the mouth, without much charm, but a rich steak, maybe topped with a gorgonzola sauce, will make it shine.",85,34,California
1280,Spain,"A bit scratchy up front, with some heat and rubber to the bouquet. Feels bold, grippy and alive, with lightly herbal flavors of roasted berry and leather. Herbal and blackened on the finish; ripe but basic in quality.",84,8,Central Spain
1290,Italy,"Aromas of dried rose, violet and red berry meld together in the glass. The refined palate offers dried cherry, light toast, mineral and a hint of spice alongside soft, supple tannins.",89,48,Northeastern Italy
1300,US,"This is a successful straight-ahead Chardonnay, with aromas of buttercream, vanilla and orange cake developing complexity thanks to alkaline, pithy notes. For such a rich nose, it proves quite clean and crisp on the palate, with lemon-lime soda, wet slate and just a touch of buttered apples.",89,35,California
1310,US,"This blend of 50% Cabernet Sauvignon, 37% Merlot, 8% Petite Sirah and 5% Cabernet Franc shows aromas of sweet plum, cherry jam, grape candy and chocolate spices. The palate presents a medium level of density, with flavors of Bing cherry, ollallieberry and dried oregano, thyme and marjoram.",89,40,California
1320,Austria,"Slight reduction still obstructs this wine's nose. The palate, however, is both zingy and rich—spiked with citrus and rounded with ripe, mellow apple fruit. There is verve and life at its core and tone to its medium body. The dry finish is appetizing.",90,18,Wiener Gemischter Satz
1330,France,"From organically grown grapes, this firmly structured red wine is stalky while also rich with potential. It is young, dense with tannins as well as black-currant fruit. The wine will need to age, so drink from 2019.",90,22,Provence
1340,France,"Produced from organic grapes, the wine is ripe and packed with fruit. It has a delicious line of acidity, as well as weight and peach and red-fruit flavors. The acidity keeps the exuberance in check. Drink now.",90,30,Provence
1350,Italy,"This is a lean, compact expression of Falanghina, opening with bright citrus, pear and kiwi aromas. It delivers fresh acidity and a bright, easygoing personality.",86,19,Southern Italy
1360,US,"It's hard to get around the tannins that battle in this wine, which is savory and dark with a smoky aura. Lay it down another couple of years or let it air out a bit before pouring.",86,23,California
